Abell~1413\dotfill & 0.14 & $ 0.52 $ & $ 1.07 $ & $ 206\pm^{  5}_{  5}$ & $ 519\pm^{ 14}_{ 12}$ & $ 7.5\pm^{0.4}_{0.3}$ & $ 2.6\pm^{0.1}_{0.1}$ & $ 2.2\pm^{0.2}_{0.1}$ & $ 2.99\pm^{0.44}_{0.43}$ & $ 0.120\pm^{0.004}_{0.004}$ \\ 
Abell~1689\dotfill &0.18 & $ 0.63 $ & $ 1.09 $ & $ 219\pm^{  5}_{  5}$ & $ 664\pm^{ 16}_{ 17}$ & $ 10.5\pm^{0.5}_{0.5}$ & $ 5.1\pm^{0.2}_{0.2}$ & $ 5.0\pm^{0.4}_{0.4}$ & $ 3.79\pm^{0.34}_{0.31}$ & $ 0.102\pm^{0.004}_{0.004}$ \\ 
Abell~1835\dotfill &0.25 & $ 0.81 $ & $ 1.13 $ & $ 172\pm^{  5}_{  4}$ & $ 672\pm^{ 20}_{ 17}$ & $ 11.4\pm^{0.7}_{0.6}$ & $ 5.8\pm^{0.2}_{0.2}$ & $ 5.6\pm^{0.5}_{0.4}$ & $ 2.09\pm^{0.17}_{0.16}$ & $ 0.104\pm^{0.005}_{0.005}$ \\ 
Abell~1914\dotfill &0.17 & $ 0.60 $ & $ 1.09 $ & $ 228\pm^{  5}_{  4}$ & $ 660\pm^{ 13}_{ 12}$ & $ 9.5\pm^{0.4}_{0.3}$ & $ 4.8\pm^{0.1}_{0.1}$ & $ 4.8\pm^{0.3}_{0.2}$ & $ 3.01\pm^{0.25}_{0.25}$ & $ 0.101\pm^{0.003}_{0.004}$ \\ 
Abell~1995\dotfill &0.32 & $ 0.96 $ & $ 1.18 $ & $ 133\pm^{  5}_{  5}$ & $ 621\pm^{ 21}_{ 22}$ & $ 8.2\pm^{0.4}_{0.4}$ & $ 3.5\pm^{0.1}_{0.1}$ & $ 4.7\pm^{0.5}_{0.5}$ & $ 0.75\pm^{0.05}_{0.05}$ & $ 0.074\pm^{0.005}_{0.005}$ \\ 
Abell~2111\dotfill &0.23 & $ 0.76 $ & $ 1.12 $ & $ 141\pm^{ 10}_{  9}$ & $ 518\pm^{ 36}_{ 33}$ & $ 8.2\pm^{1.0}_{0.8}$ & $ 2.2\pm^{0.3}_{0.2}$ & $ 2.5\pm^{0.6}_{0.4}$ & $ 0.95\pm^{0.21}_{0.20}$ & $ 0.088\pm^{0.008}_{0.008}$ \\ 
Abell~2163\dotfill &0.20 & $ 0.68 $ & $ 1.10 $ & $ 206\pm^{  3}_{  3}$ & $ 682\pm^{ 10}_{ 10}$ & $ 14.8\pm^{0.4}_{0.4}$ & $ 8.1\pm^{0.2}_{0.2}$ & $ 5.5\pm^{0.2}_{0.2}$ & $ 6.89\pm^{0.66}_{0.63}$ & $ 0.147\pm^{0.003}_{0.003}$ \\ 
Abell~2204\dotfill &0.15 & $ 0.54 $ & $ 1.08 $ & $ 256\pm^{ 13}_{ 11}$ & $ 671\pm^{ 34}_{ 30}$ & $ 11.2\pm^{0.8}_{0.7}$ & $ 4.7\pm^{0.3}_{0.2}$ & $ 5.0\pm^{0.8}_{0.6}$ & $ 4.43\pm^{0.50}_{0.52}$ & $ 0.096\pm^{0.009}_{0.010}$ \\ 
Abell~2218\dotfill &0.18 & $ 0.63 $ & $ 1.09 $ & $ 191\pm^{  6}_{  5}$ & $ 581\pm^{ 18}_{ 16}$ & $ 7.8\pm^{0.4}_{0.4}$ & $ 3.0\pm^{0.1}_{0.1}$ & $ 3.3\pm^{0.3}_{0.3}$ & $ 1.94\pm^{0.19}_{0.18}$ & $ 0.090\pm^{0.004}_{0.004}$ \\ 
Abell~2259\dotfill &0.16 & $ 0.57 $ & $ 1.08 $ & $ 172\pm^{  8}_{  8}$ & $ 476\pm^{ 23}_{ 22}$ & $ 5.8\pm^{0.4}_{0.4}$ & $ 1.8\pm^{0.1}_{0.1}$ & $ 1.8\pm^{0.3}_{0.2}$ & $ 0.82\pm^{0.30}_{0.29}$ & $ 0.101\pm^{0.007}_{0.007}$ \\ 
Abell~2261\dotfill &0.22 & $ 0.73 $ & $ 1.12 $ & $ 148\pm^{  7}_{  6}$ & $ 525\pm^{ 24}_{ 22}$ & $ 7.4\pm^{0.6}_{0.5}$ & $ 3.0\pm^{0.2}_{0.2}$ & $ 2.6\pm^{0.4}_{0.3}$ & $ 1.34\pm^{0.16}_{0.16}$ & $ 0.119\pm^{0.008}_{0.008}$ \\ 
